eta,theta_i_deg,cos_i,J_perp,J_parallel,det
0.67,89.91000000000001,0.0015707956808308423,0.67,0.0014176821107966418,0.00094984701423375
1.0,5.729577951308232e-05,0.9999999999995,1.0,1.0,1.0
1.0,0.30075944529195625,0.9999862227578203,1.0,1.0,1.0
1.0,0.6014615948043993,0.9999449019086987,1.0,1.0,1.0
1.0,0.9021637443168427,0.9998760385902757,1.0,1.0,1.0
1.0,1.2028658938292858,0.9997796346993221,1.0,1.0,1.0
1.0,1.5035680433417289,0.999655692891185,1.0,1.0,1.0
1.0,1.804270192854172,0.9995042165797162,1.0,1.0,1.0
1.0,2.104972342366615,0.9993252099371772,1.0,1.0,1.0
1.0,2.4056744918790582,0.9991186778941246,1.0,1.0,1.0
1.0,2.7063766413915014,0.9988846261392743,1.0,1.0,1.0
1.0,3.0070787909039445,0.9986230611193446,1.0,1.0,1.0
1.0,3.3077809404163876,0.9983339900388793,1.0,1.0,1.0
1.0,3.608483089928831,0.9980174208600483,1.0,1.0,1.0
1.0,3.909185239441274,0.9976733623024289,1.0,1.0,1.0
1.0,4.209887388953717,0.9973018238427656,1.0,1.0,1.0
1.0,4.51058953846616,0.9969028157147086,1.0,1.0,1.0
1.0,4.811291687978604,0.996476348908533,1.0,1.0,1.0
1.0,5.111993837491047,0.9960224351708346,1.0,1.0,1.0
1.0,5.41269598700349,0.9955410870042076,1.0,1.0,1.0
1.0,5.713398136515933,0.9950323176668996,1.0,1.0,1.0
1.0,6.014100286028376,0.9944961411724464,1.0,1.0,1.0
1.0,6.31480243554082,0.9939325722892867,1.0,1.0,1.0
1.0,6.615504585053262,0.9933416265403541,1.0,1.0,1.0
1.0,6.916206734565706,0.9927233202026507,1.0,1.0,1.0
1.0,7.216908884078149,0.9920776703067983,1.0,1.0,1.0
1.0,7.517611033590592,0.991404694636569,1.0,1.0,1.0
1.0,7.818313183103035,0.9907044117283961,1.0,1.0,1.0
1.0,8.11901533261548,0.9899768408708626,1.0,1.0,1.0
